Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day5,,,2019-02-27 14:34:31,2019-02-27 14:34:35,4.750s,PASSED
,,,,,,
Test Cases/Test3,,,2019-02-27 14:34:31,2019-02-27 14:34:35,4.144s,PASSED
"sendRequest(findTestObject(""REST/CreateUser""))",,,2019-02-27 14:34:31,2019-02-27 14:34:34,2.711s,PASSED
"sendRequest(findTestObject(""REST/ListUsers""))",,,2019-02-27 14:34:34,2019-02-27 14:34:35,0.374s,PASSED
"sendRequest(findTestObject(""REST/UpdateUser""))",,,2019-02-27 14:34:35,2019-02-27 14:34:35,0.331s,PASSED
"sendRequest(findTestObject(""REST/DeleteUser""))",,,2019-02-27 14:34:35,2019-02-27 14:34:35,0.338s,PASSED
