Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day5,,,2019-02-27 14:31:44,2019-02-27 14:31:49,4.915s,PASSED
,,,,,,
Test Cases/Test3,,,2019-02-27 14:31:45,2019-02-27 14:31:49,4.348s,PASSED
"sendRequest(findTestObject(""REST/CreateUser""))",,,2019-02-27 14:31:45,2019-02-27 14:31:48,3.045s,PASSED
"sendRequest(findTestObject(""REST/ListUsers""))",,,2019-02-27 14:31:48,2019-02-27 14:31:48,0.294s,PASSED
"sendRequest(findTestObject(""REST/UpdateUser""))",,,2019-02-27 14:31:48,2019-02-27 14:31:49,0.224s,PASSED
"sendRequest(findTestObject(""REST/DeleteUser""))",,,2019-02-27 14:31:49,2019-02-27 14:31:49,0.275s,PASSED
